text-input,output
User logs are deleted after a finite period of time,80
The service refers users to external documents for more information,10
The service provides two factor authentication for your account,25
Blocking first party cookies may limit your ability to use the service,50
" Terms may be changed any time at their discretion, without notice to the user ",70
This service does not sell your personal data,25
This service allows you to retrieve an archive of your data,40
"Users should revisit the terms periodically, although in case of material changes, the service will notify",50
This service does not sell your personal data,25
This service assumes no liability for any losses or damages resulting from any matter relating to the service,50
IP addresses of website visitors are not tracked,50
The service will resist legal requests for user information where reasonably possible,60
"The service provider makes no warranty regarding uninterrupted, timely, secure or error-free service",30
This service does not track you,100
The service is provided 'as is' and to be used at the users' sole risk,20
"Users agree not to submit libelous, harassing or threatening content",20
Your personal data is used for limited purposes,60
You have the right to leave this service at any time,15
This service does not guarantee that it or the products obtained through it meet the users' expectations or requirements,0
"User-generated content is encrypted, and this service cannot decrypt it",50
The service does not use third-party analytics or tracking platforms,25
Your personal data is aggregated into statistics,10
The terms for this service are translated into different languages,0
This service provides an onion site accessible over Tor,40
The service can delete your account without prior notice and without a reason,60
The service does not share user information with third parties,50
There is a date of the last update of the terms,50
Failure to enforce any provision of the Terms of Service does not constitute a waiver of such provision,10
Invalidity of any portion of the Terms of Service does not entail invalidity of its remainder,10
You are responsible for maintaining the security of your account and for the activities on your account,10
The service does not guarantee accuracy or reliability of the information provided,10
A free help desk is provided,10
"The service may use tracking pixels, web beacons, browser fingerprinting, and/or device fingerprinting on users.",50
This service ignores the Do Not Track (DNT) header and tracks users anyway even if they set this header.,0
Blocking first party cookies may limit your ability to use the service,50
You can opt out of targeted advertising,25
First-party cookies are used,10
Third parties are involved in operating the service,0
The service informs you that its privacy policy does not apply to third party websites,10
"The terms may be changed at any time, but you will receive notification of the changes",0
Information is provided about how your personal data is used,30
"The service provider makes no warranty regarding uninterrupted, timely, secure or error-free service",30
Private messages can be read,70
Third-party cookies are used for advertising,70
Many different types of personal data are collected,70
There is a date of the last update of the agreements,50
Third-party cookies are used for statistics,10
The service informs you that its privacy policy does not apply to third party websites,10
